avaliacao,rating,destino,preco_medio,distancia_km,tipo,sentimento_real,avaliacao_processada,sentimento_previsto,prob_positivo,prob_negativo,prob_neutro,score_fuzzy
Maravilhoso! Paisagens de tirar o fôlego e pessoas muito simpáticas.,4,Rio de Janeiro,1481,1150,praia,positivo,maravilh pais tir fleg pesso simpá,positivo,0.8406796460679281,0.0890529057584168,0.0702674481736543,69.99999999999999
Perfeito! Tudo bem organizado e muito bonito.,4,Rio de Janeiro,1342,1150,praia,positivo,perfeit tud bem organiz bonit,positivo,0.9603844052762208,0.0243781616601466,0.0152374330636326,69.99999999999999
Maravilhoso! Paisagens de tirar o fôlego e pessoas muito simpáticas.,4,Rio de Janeiro,1632,1150,praia,positivo,maravilh pais tir fleg pesso simpá,positivo,0.8406796460679281,0.0890529057584168,0.0702674481736543,69.99999999999999
Destino incrível! Superou minhas expectativas. Voltaria com certeza!,4,Rio de Janeiro,1295,1150,praia,positivo,destin incr super expect volt cert,positivo,0.4524221384912909,0.4169593460646973,0.1306185154440121,50.000000000000014
Perfeito! Tudo bem organizado e muito bonito.,4,Rio de Janeiro,1717,1150,praia,positivo,perfeit tud bem organiz bonit,positivo,0.9603844052762208,0.0243781616601466,0.0152374330636326,69.99999999999999
Recomendo demais! Vale muito a pena visitar.,4,Rio de Janeiro,1774,1150,praia,positivo,recom demal val pen visit,negativo,0.312948783744884,0.6463034388713509,0.0407477773837652,41.591889740563424
Perfeito! Tudo bem organizado e muito bonito.,5,Rio de Janeiro,1425,1150,praia,positivo,perfeit tud bem organiz bonit,positivo,0.9603844052762208,0.0243781616601466,0.0152374330636326,69.99999999999999
Que lugar lindo! Ficamos apaixonados.,5,Rio de Janeiro,1206,1150,praia,positivo,lug lind fic apaixon,positivo,0.9321044561074332,0.0304023141625371,0.0374932297300306,69.99999999999999
Experiência fantástica! Recomendo para todos os amigos.,5,Rio de Janeiro,1548,1150,praia,positivo,experinc fant recom tod amig,negativo,0.4096990412259855,0.5228077064345579,0.067493252339457,50.000000000000014
Adorei! Voltaria mil vezes se pudesse.,4,Rio de Janeiro,1420,1150,praia,positivo,ador volt mil vez pud,positivo,0.8048671720785336,0.1257198486486623,0.0694129792728038,69.99999999999999
Muito ruim! Atendimento péssimo.,1,Rio de Janeiro,1294,1150,praia,negativo,ruim atend péss,negativo,0.0554556760040676,0.83478013033864,0.1097641936572924,10.780826558265586
Não recomendo. Muito caro pelo que oferece.,1,Rio de Janeiro,1567,1150,praia,negativo,recom car oferec,negativo,0.1315598448777366,0.8153185737184016,0.0531215814038614,10.780826558265586
Muito ruim! Atendimento péssimo.,2,Rio de Janeiro,1244,1150,praia,negativo,ruim atend péss,negativo,0.0554556760040676,0.83478013033864,0.1097641936572924,10.780826558265586
Terrível experiência. Dinheiro jogado fora.,1,Rio de Janeiro,1587,1150,praia,negativo,terr experinc dinh jog,positivo,0.4489906958455358,0.4195722568162206,0.1314370473382432,50.000000000000014
Péssimo! Não vale o preço cobrado.,2,Rio de Janeiro,1570,1150,praia,negativo,péss val preç cobr,negativo,0.0319950809398225,0.9426413702326024,0.0253635488275743,10.780826558265586
Horrível! Pior viagem que já fiz.,1,Rio de Janeiro,1271,1150,praia,negativo,horr pi viag fiz,negativo,0.0592915022230245,0.8791007201983654,0.0616077775786095,10.780826558265586
Muito caro e decepcionante. Não recomendo.,1,Rio de Janeiro,1496,1150,praia,negativo,car decepcion recom,negativo,0.0282564089657938,0.9547035520863548,0.0170400389478512,10.780826558265586
Péssimo! Não vale o preço cobrado.,1,Rio de Janeiro,1303,1150,praia,negativo,péss val preç cobr,negativo,0.0319950809398225,0.9426413702326024,0.0253635488275743,10.780826558265586
Não recomendo. Muito caro pelo que oferece.,2,Rio de Janeiro,1664,1150,praia,negativo,recom car oferec,negativo,0.1315598448777366,0.8153185737184016,0.0531215814038614,10.780826558265586
Muito ruim! Atendimento péssimo.,1,Rio de Janeiro,1579,1150,praia,negativo,ruim atend péss,negativo,0.0554556760040676,0.83478013033864,0.1097641936572924,10.780826558265586
Nem bom nem ruim. Apenas ok.,3,Rio de Janeiro,1414,1150,praia,neutro,bom ruim apen,neutro,0.0257003217363248,0.0271065261591891,0.947193152104486,10.780826558265586
"Razoável. Alguns pontos bons, outros nem tanto.",3,Rio de Janeiro,1273,1150,praia,neutro,razoá algum pont bom outr tant,neutro,0.0306287037945569,0.0331347440202563,0.9362365521851868,10.780826558265586
"Aceitável, mas poderia melhorar bastante.",3,Rio de Janeiro,1375,1150,praia,neutro,aceit pod melhor bast,neutro,0.0424491539140183,0.0522925122920905,0.9052583337938904,10.780826558265586
Regular. Tem coisas legais e outras não.,3,Rio de Janeiro,1450,1150,praia,neutro,regul cois legal outr,neutro,0.0615485478127891,0.0794586475179145,0.8589928046692961,10.780826558265586
"Mediano. Esperava mais, mas não foi ruim.",3,Rio de Janeiro,1673,1150,praia,neutro,medi esper ruim,neutro,0.0338152683068668,0.0885966718096039,0.8775880598835286,10.780826558265586
Lugar comum. Nada excepcional.,3,Rio de Janeiro,1476,1150,praia,neutro,lug comum nad excepc,neutro,0.0585354508962379,0.0515930710525772,0.8898714780511843,10.780826558265586
Regular. Tem coisas legais e outras não.,3,Rio de Janeiro,1424,1150,praia,neutro,regul cois legal outr,neutro,0.0615485478127891,0.0794586475179145,0.8589928046692961,10.780826558265586
Nem bom nem ruim. Apenas ok.,3,Rio de Janeiro,1257,1150,praia,neutro,bom ruim apen,neutro,0.0257003217363248,0.0271065261591891,0.947193152104486,10.780826558265586
Aceitável. Poderia ser melhor.,3,Rio de Janeiro,1232,1150,praia,neutro,aceit pod melhor,neutro,0.0424491539140183,0.0522925122920905,0.9052583337938904,10.780826558265586
Nem bom nem ruim. Apenas ok.,3,Rio de Janeiro,1610,1150,praia,neutro,bom ruim apen,neutro,0.0257003217363248,0.0271065261591891,0.947193152104486,10.780826558265586
Adorei! Voltaria mil vezes se pudesse.,4,Salvador,1068,2100,praia,positivo,ador volt mil vez pud,positivo,0.8048671720785336,0.1257198486486623,0.0694129792728038,70.0
Recomendo demais! Vale muito a pena visitar.,5,Salvador,1068,2100,praia,positivo,recom demal val pen visit,negativo,0.312948783744884,0.6463034388713509,0.0407477773837652,41.591889740563424
Que lugar lindo! Ficamos apaixonados.,5,Salvador,1412,2100,praia,positivo,lug lind fic apaixon,positivo,0.9321044561074332,0.0304023141625371,0.0374932297300306,70.0
Que lugar lindo! Ficamos apaixonados.,4,Salvador,1095,2100,praia,positivo,lug lind fic apaixon,positivo,0.9321044561074332,0.0304023141625371,0.0374932297300306,69.99999999999999
Experiência fantástica! Recomendo para todos os amigos.,4,Salvador,1341,2100,praia,positivo,experinc fant recom tod amig,negativo,0.4096990412259855,0.5228077064345579,0.067493252339457,49.999999999999986
Simplesmente perfeito! Tudo funcionou muito bem.,5,Salvador,1342,2100,praia,positivo,simples perfeit tud funcion bem,positivo,0.9603844052762208,0.0243781616601465,0.0152374330636326,70.0
Recomendo demais! Vale muito a pena visitar.,5,Salvador,1419,2100,praia,positivo,recom demal val pen visit,negativo,0.312948783744884,0.6463034388713509,0.0407477773837652,41.591889740563424
Recomendo demais! Vale muito a pena visitar.,5,Salvador,1145,2100,praia,positivo,recom demal val pen visit,negativo,0.312948783744884,0.6463034388713509,0.0407477773837652,41.591889740563424
Perfeito! Tudo bem organizado e muito bonito.,4,Salvador,1220,2100,praia,positivo,perfeit tud bem organiz bonit,positivo,0.9603844052762208,0.0243781616601466,0.0152374330636326,70.0
