avaliacao,rating,destino,preco_medio,distancia_km,tipo,sentimento_real,avaliacao_processada,sentimento_previsto,prob_positivo,prob_negativo,prob_neutro
Maravilhoso! Paisagens de tirar o fôlego e pessoas muito simpáticas.,4,Rio de Janeiro,1481,1150,praia,positivo,maravilh pais tir fleg pesso simpá,positivo,0.8406796460679281,0.08905290575841687,0.07026744817365434
Perfeito! Tudo bem organizado e muito bonito.,4,Rio de Janeiro,1342,1150,praia,positivo,perfeit tud bem organiz bonit,positivo,0.9603844052762207,0.02437816166014663,0.015237433063632691
Maravilhoso! Paisagens de tirar o fôlego e pessoas muito simpáticas.,4,Rio de Janeiro,1632,1150,praia,positivo,maravilh pais tir fleg pesso simpá,positivo,0.8406796460679281,0.08905290575841687,0.07026744817365434
Destino incrível! Superou minhas expectativas. Voltaria com certeza!,4,Rio de Janeiro,1295,1150,praia,positivo,destin incr super expect volt cert,positivo,0.4524221384912909,0.4169593460646973,0.13061851544401218
Perfeito! Tudo bem organizado e muito bonito.,4,Rio de Janeiro,1717,1150,praia,positivo,perfeit tud bem organiz bonit,positivo,0.9603844052762207,0.02437816166014663,0.015237433063632691
Recomendo demais! Vale muito a pena visitar.,4,Rio de Janeiro,1774,1150,praia,positivo,recom demal val pen visit,negativo,0.31294878374488405,0.6463034388713509,0.040747777383765275
Perfeito! Tudo bem organizado e muito bonito.,5,Rio de Janeiro,1425,1150,praia,positivo,perfeit tud bem organiz bonit,positivo,0.9603844052762207,0.02437816166014663,0.015237433063632691
Que lugar lindo! Ficamos apaixonados.,5,Rio de Janeiro,1206,1150,praia,positivo,lug lind fic apaixon,positivo,0.9321044561074331,0.030402314162537157,0.03749322973003065
Experiência fantástica! Recomendo para todos os amigos.,5,Rio de Janeiro,1548,1150,praia,positivo,experinc fant recom tod amig,negativo,0.4096990412259855,0.5228077064345579,0.06749325233945701
Adorei! Voltaria mil vezes se pudesse.,4,Rio de Janeiro,1420,1150,praia,positivo,ador volt mil vez pud,positivo,0.8048671720785336,0.12571984864866234,0.06941297927280381
Muito ruim! Atendimento péssimo.,1,Rio de Janeiro,1294,1150,praia,negativo,ruim atend péss,negativo,0.05545567600406765,0.83478013033864,0.10976419365729241
Não recomendo. Muito caro pelo que oferece.,1,Rio de Janeiro,1567,1150,praia,negativo,recom car oferec,negativo,0.13155984487773667,0.8153185737184016,0.05312158140386148
Muito ruim! Atendimento péssimo.,2,Rio de Janeiro,1244,1150,praia,negativo,ruim atend péss,negativo,0.05545567600406765,0.83478013033864,0.10976419365729241
Terrível experiência. Dinheiro jogado fora.,1,Rio de Janeiro,1587,1150,praia,negativo,terr experinc dinh jog,positivo,0.4489906958455358,0.4195722568162206,0.1314370473382432
Péssimo! Não vale o preço cobrado.,2,Rio de Janeiro,1570,1150,praia,negativo,péss val preç cobr,negativo,0.03199508093982256,0.9426413702326024,0.025363548827574394
Horrível! Pior viagem que já fiz.,1,Rio de Janeiro,1271,1150,praia,negativo,horr pi viag fiz,negativo,0.05929150222302458,0.8791007201983654,0.06160777757860953
Muito caro e decepcionante. Não recomendo.,1,Rio de Janeiro,1496,1150,praia,negativo,car decepcion recom,negativo,0.028256408965793834,0.9547035520863547,0.017040038947851267
Péssimo! Não vale o preço cobrado.,1,Rio de Janeiro,1303,1150,praia,negativo,péss val preç cobr,negativo,0.03199508093982256,0.9426413702326024,0.025363548827574394
Não recomendo. Muito caro pelo que oferece.,2,Rio de Janeiro,1664,1150,praia,negativo,recom car oferec,negativo,0.13155984487773667,0.8153185737184016,0.05312158140386148
Muito ruim! Atendimento péssimo.,1,Rio de Janeiro,1579,1150,praia,negativo,ruim atend péss,negativo,0.05545567600406765,0.83478013033864,0.10976419365729241
Nem bom nem ruim. Apenas ok.,3,Rio de Janeiro,1414,1150,praia,neutro,bom ruim apen,neutro,0.02570032173632488,0.027106526159189168,0.9471931521044861
"Razoável. Alguns pontos bons, outros nem tanto.",3,Rio de Janeiro,1273,1150,praia,neutro,razoá algum pont bom outr tant,neutro,0.030628703794556934,0.03313474402025634,0.9362365521851868
"Aceitável, mas poderia melhorar bastante.",3,Rio de Janeiro,1375,1150,praia,neutro,aceit pod melhor bast,neutro,0.04244915391401833,0.05229251229209057,0.9052583337938905
Regular. Tem coisas legais e outras não.,3,Rio de Janeiro,1450,1150,praia,neutro,regul cois legal outr,neutro,0.06154854781278917,0.07945864751791452,0.8589928046692961
"Mediano. Esperava mais, mas não foi ruim.",3,Rio de Janeiro,1673,1150,praia,neutro,medi esper ruim,neutro,0.03381526830686685,0.0885966718096039,0.8775880598835286
Lugar comum. Nada excepcional.,3,Rio de Janeiro,1476,1150,praia,neutro,lug comum nad excepc,neutro,0.05853545089623797,0.05159307105257722,0.8898714780511843
Regular. Tem coisas legais e outras não.,3,Rio de Janeiro,1424,1150,praia,neutro,regul cois legal outr,neutro,0.06154854781278917,0.07945864751791452,0.8589928046692961
Nem bom nem ruim. Apenas ok.,3,Rio de Janeiro,1257,1150,praia,neutro,bom ruim apen,neutro,0.02570032173632488,0.027106526159189168,0.9471931521044861
Aceitável. Poderia ser melhor.,3,Rio de Janeiro,1232,1150,praia,neutro,aceit pod melhor,neutro,0.04244915391401833,0.05229251229209057,0.9052583337938905
Nem bom nem ruim. Apenas ok.,3,Rio de Janeiro,1610,1150,praia,neutro,bom ruim apen,neutro,0.02570032173632488,0.027106526159189168,0.9471931521044861
Adorei! Voltaria mil vezes se pudesse.,4,Salvador,1068,2100,praia,positivo,ador volt mil vez pud,positivo,0.8048671720785336,0.12571984864866234,0.06941297927280381
Recomendo demais! Vale muito a pena visitar.,5,Salvador,1068,2100,praia,positivo,recom demal val pen visit,negativo,0.31294878374488405,0.6463034388713509,0.040747777383765275
Que lugar lindo! Ficamos apaixonados.,5,Salvador,1412,2100,praia,positivo,lug lind fic apaixon,positivo,0.9321044561074331,0.030402314162537157,0.03749322973003065
Que lugar lindo! Ficamos apaixonados.,4,Salvador,1095,2100,praia,positivo,lug lind fic apaixon,positivo,0.9321044561074331,0.030402314162537157,0.03749322973003065
Experiência fantástica! Recomendo para todos os amigos.,4,Salvador,1341,2100,praia,positivo,experinc fant recom tod amig,negativo,0.4096990412259855,0.5228077064345579,0.06749325233945701
Simplesmente perfeito! Tudo funcionou muito bem.,5,Salvador,1342,2100,praia,positivo,simples perfeit tud funcion bem,positivo,0.9603844052762207,0.024378161660146544,0.015237433063632691
Recomendo demais! Vale muito a pena visitar.,5,Salvador,1419,2100,praia,positivo,recom demal val pen visit,negativo,0.31294878374488405,0.6463034388713509,0.040747777383765275
Recomendo demais! Vale muito a pena visitar.,5,Salvador,1145,2100,praia,positivo,recom demal val pen visit,negativo,0.31294878374488405,0.6463034388713509,0.040747777383765275
